"country","continent","lifeExp","pop","gdpPercap"
"DOPE","x",22935,217,217
"BNTY","x",9443,422,422
"IQN","x",2121,777,777
"MTC","x",2040,782,782
"ADS","x",3144,710,710
"AT","x",1117,850,850
"OWN","x",12128,353,353
"XCASH","x",1808,803,803
"NAVY","x",543,902,902
"ZXC","x",12197,352,352
"RPM","x",3504,680,680
"AAC","x",8271,460,460
"SYNX","x",2933,726,726
"COFI","x",5049,607,607
"TGAME","x",2828,738,738
"UQC","x",10759,387,387
"VRM","x",11213,376,376
"SRCOIN","x",747,882,882
"SDA","x",924,866,866
"IFOOD","x",88,934,934
"YOC","x",47917,92,92
"PHI","x",2449,757,757
"TRTT","x",2705,746,746
"ESS","x",14424,310,310
"THRT","x",3887,660,660
"HOLD","x",8279,459,459
"CTC","x",92,932,932
"FOXT","x",10185,403,403
"0xBTC","x",147,928,928
"BIR","x",1687,812,812
"NBC","x",0,948,948
"IOP","x",9058,429,429
"SVD","x",8353,458,458
"HWC","x",2835,737,737
"IETH","x",2165,773,773
"ACAT","x",16357,279,279
"PAT","x",52786,86,86
"RATING","x",3184,706,706
"PINK","x",12644,340,340
"CPC","x",571,898,898
"SNOV","x",8933,432,432
"ERT","x",3502,681,681
"ARY","x",2375,761,761
"COIN","x",5085,602,602
"TDP","x",27268,180,180
"SEQ","x",5635,574,574
"USNBT","x",14669,305,305
"NIO","x",4222,642,642
"2GIVE","x",4480,634,634
"XMCT","x",6708,523,523
"MLC","x",3872,662,662
"CMCT","x",4602,625,625
"FLP","x",0,948,948
"IXT","x",12295,347,347
"OWC","x",2188,770,770
"X8X","x",3687,668,668
"BITX","x",5379,591,591
"BERRY","x",12449,345,345
"LEDU","x",8489,453,453
"BOE","x",3492,684,684
"FACE","x",3362,691,691
"MTX","x",1823,800,800
"UFO","x",188,923,923
"ABX","x",1862,796,796
"IDXM","x",35876,135,135
"ARG","x",1347,838,838
"LABX","x",3880,661,661
"XBC","x",5397,589,589
"OPTI","x",1547,818,818
"GBX","x",11405,371,371
"DXT","x",41,939,939
"NXC","x",5642,573,573
"BRK","x",3962,654,654
"BRX","x",3962,653,653
"MNC","x",1322,841,841
"PGN","x",918,868,868
"1WO","x",6357,541,541
"PROC","x",4080,649,649
"EBTC","x",26821,183,183
"XBI","x",2223,766,766
"PUT","x",26547,188,188
"SHP","x",0,948,948
"SPRTS","x",710,885,885
"PKT","x",6644,524,524
"MVC","x",1417,829,829
"ZIPT","x",7427,495,495
"ESN","x",1811,802,802
"BEE","x",32608,152,152
"BELA","x",7848,476,476
"RET","x",8622,447,447
"ARB","x",1797,805,805
"ORS","x",7556,488,488
"BETR","x",2232,765,765
"INCX","x",13523,324,324
"HBZ","x",63,936,936
"UCN","x",14759,303,303
"KRB","x",1637,813,813
"NEOS","x",26649,187,187
"UBC","x",14298,313,313
"WIRE","x",6126,553,553
"BETHER","x",16665,275,275
"CCX","x",2004,785,785
"PLTC","x",6916,517,517
"ENRG","x",5658,572,572
"APH","x",11931,359,359
"TCC","x",3039,716,716
"EGC","x",7197,506,506
"GXX","x",4721,622,622
"VME","x",4131,646,646
"J8T","x",1906,795,795
"RYO","x",810,875,875
"OMX","x",37860,126,126
"LPC","x",4223,641,641
"OOT","x",3194,705,705
"EL","x",574,896,896
"GIO","x",3869,663,663
"BEAT","x",2311,763,763
"PARETO","x",7827,477,477
"ATB","x",2675,748,748
"WISH","x",5960,561,561
"FSBT","x",0,948,948
"BTXC","x",1009,863,863
"CL","x",2935,725,725
"KWATT","x",7886,474,474
"HER","x",4826,617,617
"FREC","x",1473,824,824
"VULC","x",2566,752,752
"USDS","x",2962,723,723
"DIT","x",3638,670,670
"ATMI","x",12233,350,350
"SCC","x",3520,679,679
"METM","x",7952,473,473
"LRM","x",2167,772,772
"IND","x",8243,461,461
"MCW","x",90,933,933
"JSE","x",5441,587,587
"PASS","x",0,948,948
"FYP","x",4526,629,629
"DCTO","x",1979,787,787
"PLAY","x",3557,677,677
"EBST","x",13027,334,334
"PTT","x",2093,778,778
"BBP","x",987,864,864
"AEN","x",2919,727,727
"TENA","x",385,908,908
"AUC","x",8238,462,462
"JET","x",6486,536,536
"PYLNT","x",2800,741,741
"AUX","x",4379,638,638
"TIG","x",0,948,948
"ZCR","x",724,883,883
"XNV","x",686,888,888
"ADH","x",4693,623,623
"RLX","x",5203,596,596
"SEAL","x",1721,811,811
"STAR","x",17823,254,254
"PGT","x",195,922,922
"MONK","x",2629,751,751
"XBP","x",17617,256,256
"MNTP","x",2320,762,762
"KLN","x",797,878,878
"BTNT","x",6002,560,560
"RCT","x",9998,409,409
"DOGEC","x",1048,857,857
"FLOT","x",2674,749,749
"NPER","x",1023,860,860
"BMH","x",13114,332,332
"EXMR","x",3240,701,701
"IONC","x",178,924,924
